energy_kev phabs_nh0.101_model_model phabs_nh0.101_model_y
0.234895 0.004276730586 0.004276730586
0.236525 0.004774180241 0.004774180241
0.238165 0.005317454226 0.005317454226
0.23982 0.005911272485 0.005911272485
0.241485 0.006557005923 0.006557005923
0.24316 0.00725765992 0.00725765992
0.244845 0.00799959898 0.00799959898
0.246545 0.008734344505 0.008734344505
0.248255 0.009611257352 0.009611257352
0.249975 0.01055507548 0.01055507548
0.25171 0.01157190464 0.01157190464
0.253455 0.01266226824 0.01266226824
0.255215 0.01383257005 0.01383257005
0.25699 0.01508645713 0.01508645713
0.258775 0.01642377116 0.01642377116
0.26057 0.01784743369 0.01784743369
0.262375 0.01936032251 0.01936032251
0.264195 0.02096972056 0.02096972056
0.26603 0.02267910726 0.02267910726
0.267875 0.02448674478 0.02448674478
0.269735 0.02640028857 0.02640028857
0.271605 0.02841746993 0.02841746993
0.273485 0.03054044954 0.03054044954
0.275385 0.03278324008 0.03278324008
0.2773 0.03514321148 0.03514321148
0.279225 0.03761627525 0.03761627525
0.28116 0.04020399228 0.04020399228
0.28311 0.04280478507 0.04280478507
0.285075 0.03208230808 0.03208230808
0.28705 0.03432925045 0.03432925045
0.28904 0.03668683767 0.03668683767
0.29105 0.03916360438 0.03916360438
0.29307 0.04174927995 0.04174927995
0.2951 0.04444484413 0.04444484413
0.29715 0.04726534709 0.04726534709
0.299215 0.05020559207 0.05020559207
0.30129 0.05325947702 0.05325947702
0.30338 0.0564352572 0.0564352572
0.305485 0.05973368511 0.05973368511
0.307605 0.06315566599 0.06315566599
0.30974 0.06670147926 0.06670147926
0.311885 0.07036302984 0.07036302984
0.31405 0.07415752858 0.07415752858
0.31623 0.07807647437 0.07807647437
0.31842 0.08211036772 0.08211036772
0.32063 0.08627710491 0.08627710491
0.322855 0.09056694806 0.09056694806
0.325095 0.09497910738 0.09497910738
0.327355 0.0995227024 0.0995227024
0.329625 0.1041763276 0.1041763276
0.33191 0.108948566 0.108948566
0.334215 0.1138487235 0.1138487235
0.336535 0.1188645661 0.1188645661
0.33887 0.1239941269 0.1239941269
0.34122 0.1292354017 0.1292354017
0.34359 0.1345975995 0.1345975995
0.345975 0.1400668621 0.1400668621
0.348375 0.1456131339 0.1456131339
0.35079 0.1505340934 0.1505340934
0.353225 0.1562923789 0.1562923789
0.355675 0.1621472985 0.1621472985
0.35814 0.1680956334 0.1680956334
0.360625 0.1741466671 0.1741466671
0.36313 0.180297479 0.180297479
0.36565 0.1865325123 0.1865325123
0.368185 0.1928486079 0.1928486079
0.37074 0.1992545426 0.1992545426
0.373315 0.2057473511 0.2057473511
0.375905 0.2123107463 0.2123107463
0.37851 0.2189409286 0.2189409286
0.38114 0.2256600708 0.2256600708
0.383785 0.232439056 0.232439056
0.386445 0.239273876 0.239273876
0.389125 0.2461737841 0.2461737841
0.391825 0.2531351447 0.2531351447
0.394545 0.2601540387 0.2601540387
0.397285 0.2672267258 0.2672267258
0.40004 0.2736648321 0.2736648321
0.402815 0.2619425356 0.2619425356
0.40561 0.2688958049 0.2688958049
0.408425 0.275895834 0.275895834
0.41126 0.2829387784 0.2829387784
0.414115 0.2900211215 0.2900211215
0.41699 0.297139138 0.297139138
0.41988 0.3042772114 0.3042772114
0.422795 0.3114560246 0.3114560246
0.42573 0.31866014 0.31866014
0.42868 0.3258736134 0.3258736134
0.431655 0.3331175148 0.3331175148
0.43465 0.3403761983 0.3403761983
0.437665 0.3476461768 0.3476461768
0.440705 0.3549357951 0.3549357951
0.443765 0.3622303307 0.3622303307
0.446845 0.369526118 0.369526118
0.449945 0.3768200278 0.3768200278
0.453065 0.3841088414 0.3841088414
0.456205 0.3913899064 0.3913899064
0.45937 0.398671478 0.398671478
0.46256 0.4059500694 0.4059500694
0.46577 0.4132118821 0.4132118821
0.469 0.4204538167 0.4204538167
0.472255 0.4276843667 0.4276843667
0.475535 0.4349005818 0.4349005818
0.478835 0.4420887232 0.4420887232
0.482155 0.449246347 0.449246347
0.4855 0.4563818872 0.4563818872
0.48887 0.4634926319 0.4634926319
0.49226 0.4705655575 0.4705655575
0.495675 0.4776090384 0.4776090384
0.499115 0.4846206307 0.4846206307
0.50258 0.4915980697 0.4915980697
0.50607 0.4985388219 0.4985388219
0.50958 0.5054314137 0.5054314137
0.513115 0.5122837424 0.5122837424
0.516675 0.5190934539 0.5190934539
0.52026 0.5258592367 0.5258592367
0.52387 0.5325790048 0.5325790048
0.527505 0.5392511487 0.5392511487
0.531165 0.5194855928 0.5194855928
0.53485 0.3419151008 0.3419151008
0.53856 0.3487004638 0.3487004638
0.542295 0.3554940522 0.3554940522
0.54606 0.3623024225 0.3623024225
0.54985 0.3691136241 0.3691136241
0.553665 0.3759252131 0.3759252131
0.557505 0.3827344179 0.3827344179
0.56137 0.389538765 0.389538765
0.565265 0.3963446319 0.3963446319
0.56919 0.4031491578 0.4031491578
0.57314 0.4099413455 0.4099413455
0.577115 0.41671893 0.41671893
0.58112 0.4234879017 0.4234879017
0.585155 0.4302459061 0.4302459061
0.589215 0.4369822741 0.4369822741
0.5933 0.4436950386 0.4436950386
0.597415 0.4503358603 0.4503358603
0.60156 0.4567026794 0.4567026794
0.605735 0.4633577764 0.4633577764
0.60994 0.4699890018 0.4699890018
0.614175 0.4765941203 0.4765941203
0.618435 0.4831637442 0.4831637442
0.622725 0.4897037745 0.4897037745
0.627045 0.4962121546 0.4962121546
0.631395 0.502687335 0.502687335
0.63578 0.5091348886 0.5091348886
0.64019 0.5155384541 0.5155384541
0.64463 0.5219037533 0.5219037533
0.649105 0.5282363296 0.5282363296
0.65361 0.5345275998 0.5345275998
0.658145 0.5407762527 0.5407762527
0.66271 0.546980679 0.546980679
0.66731 0.5531465411 0.5531465411
0.67194 0.5592656732 0.5592656732
0.6766 0.5653370023 0.5653370023
0.681295 0.5713657737 0.5713657737
0.686025 0.5773507953 0.5773507953
0.690785 0.5832615495 0.5832615495
0.695575 0.5891131163 0.5891131163
0.7004 0.5949467421 0.5949467421
0.70526 0.5999459028 0.5999459028
0.710155 0.5666063428 0.5666063428
0.715085 0.5723528266 0.5723528266
0.720045 0.5780536532 0.5780536532
0.72504 0.5837135315 0.5837135315
0.730075 0.5893369913 0.5893369913
0.73514 0.5949118733 0.5949118733
0.74024 0.6004431844 0.6004431844
0.745375 0.6059297919 0.6059297919
0.750545 0.6113710403 0.6113710403
0.755755 0.6167712212 0.6167712212
0.761 0.6221244931 0.6221244931
0.76628 0.6274300814 0.6274300814
0.771595 0.6326873899 0.6326873899
0.77695 0.6379006505 0.6379006505
0.782345 0.6430690885 0.6430690885
0.78777 0.6481826305 0.6481826305
0.793235 0.653237164 0.653237164
0.79874 0.6581981182 0.6581981182
0.80428 0.6631681919 0.6631681919
0.80986 0.6680907607 0.6680907607
0.81548 0.6729653478 0.6729653478
0.82114 0.6777914166 0.6777914166
0.82684 0.6825686693 0.6825686693
0.832575 0.6872924566 0.6872924566
0.83835 0.6919667125 0.6919667125
0.84417 0.6965951324 0.6965951324
0.850025 0.7011693716 0.7011693716
0.85592 0.7044104338 0.7044104338
0.86186 0.708507061 0.708507061
0.86784 0.7031462789 0.7031462789
0.873865 0.6878518462 0.6878518462
0.87993 0.6925094128 0.6925094128
0.886035 0.6971158981 0.6971158981
0.892185 0.7016746998 0.7016746998
0.898375 0.7061819434 0.7061819434
0.904605 0.7106373906 0.7106373906
0.91088 0.715044558 0.715044558
0.9172 0.7194030881 0.7194030881
0.923565 0.7237127423 0.7237127423
0.929975 0.7279734612 0.7279734612
0.936425 0.7321816087 0.7321816087
0.94292 0.7363407016 0.7363407016
0.949465 0.7404535413 0.7404535413
0.956055 0.7445169091 0.7445169091
0.96269 0.7485308051 0.7485308051
0.96937 0.7524951696 0.7524951696
0.976095 0.7564100027 0.7564100027
0.98287 0.7602782249 0.7602782249
0.98969 0.7640969157 0.7640969157
0.996555 0.7678662539 0.7678662539
1.00347 0.7715889215 0.7715889215
1.010435 0.7752649784 0.7752649784
1.017445 0.7788918614 0.7788918614
1.0245 0.7824696898 0.7824696898
1.03161 0.786003828 0.786003828
1.03877 0.7894914746 0.7894914746
1.045975 0.792930603 0.792930603
1.053235 0.7963260412 0.7963260412
1.060545 0.7996755242 0.7996755242
1.0679 0.8029769659 0.8029769659
1.07531 0.8057831526 0.8057831526
1.082775 0.8089840412 0.8089840412
1.090285 0.8121575117 0.8121575117
1.09785 0.8152881265 0.8152881265
1.10547 0.8183758855 0.8183758855
1.11314 0.8214191198 0.8214191198
1.120865 0.8244199157 0.8244199157
1.12864 0.8273766637 0.8273766637
1.13647 0.8302915692 0.8302915692
1.144355 0.8331646919 0.8331646919
1.152295 0.8359963894 0.8359963894
1.16029 0.8387869 0.8387869
1.16834 0.8415364027 0.8415364027
1.17645 0.8442468643 0.8442468643
1.184615 0.846916914 0.846916914
1.192835 0.8495467305 0.8495467305
1.20111 0.8521367311 0.8521367311
1.20944 0.8546872139 0.8546872139
1.21783 0.8571999669 0.8571999669
1.22628 0.8596752286 0.8596752286
1.23479 0.862113297 0.862113297
1.24336 0.8645144105 0.8645144105
1.25199 0.8668788075 0.8668788075
1.260675 0.8692055345 0.8692055345
1.26942 0.8714962602 0.8714962602
1.27823 0.873752594 0.873752594
1.2871 0.8759734035 0.8759734035
1.29603 0.8781591058 0.8781591058
1.305025 0.8774300218 0.8774300218
1.31408 0.8751041889 0.8751041889
1.323195 0.8772879839 0.8772879839
1.332375 0.8794381618 0.8794381618
1.34162 0.8815551996 0.8815551996
1.35093 0.8836391568 0.8836391568
1.360305 0.8856904507 0.8856904507
1.369745 0.8877093792 0.8877093792
