energy_kev tbabs_nh0.101_model_model tbabs_nh0.101_model_y
0.2349 0.004806010081 0.004806010081
0.2365 0.005337958804 0.005337958804
0.23815 0.005943476749 0.005943476749
0.2398 0.006599240627 0.006599240627
0.24145 0.007306373074 0.007306373074
0.24315 0.008091810358 0.008091810358
0.24485 0.008936960284 0.008936960284
0.24655 0.009844057572 0.009844057572
0.24825 0.01081526181 0.01081526181
0.24995 0.01178647978 0.01178647978
0.2517 0.01284803535 0.01284803535
0.25345 0.01405138024 0.01405138024
0.2552 0.01532954394 0.01532954394
0.257 0.01672568867 0.01672568867
0.2588 0.01820574413 0.01820574413
0.2606 0.01977138672 0.01977138672
0.2624 0.02142412724 0.02142412724
0.2642 0.02316531756 0.02316531756
0.266 0.02499615227 0.02499615227
0.26785 0.02697158152 0.02697158152
0.26975 0.02910179858 0.02910179858
0.2716 0.03127553565 0.03127553565
0.27345 0.0335456583 0.0335456583
0.27535 0.03598037117 0.03598037117
0.2773 0.03858552814 0.03858552814
0.27925 0.0413019832 0.0413019832
0.28115 0.04405373572 0.04405373572
0.2831 0.0469843262 0.0469843262
0.2851 0.05010353711 0.05010353711
0.28705 0.05325466077 0.05325466077
0.289 0.05650995675 0.05650995675
0.29105 0.05417793749 0.05417793749
0.2931 0.05208221989 0.05208221989
0.2951 0.05522342942 0.05522342942
0.29715 0.05854619588 0.05854619588
0.2992 0.06197528394 0.06197528394
0.30125 0.0655046938 0.0655046938
0.30335 0.06922600799 0.06922600799
0.30545 0.07305132806 0.07305132806
0.3076 0.07707201253 0.07707201253
0.30975 0.08119974693 0.08119974693
0.3119 0.08542677686 0.08542677686
0.31405 0.08975580859 0.08975580859
0.3162 0.09417865453 0.09417865453
0.3184 0.09880272511 0.09880272511
0.3206 0.1035217568 0.1035217568
0.32285 0.1084413704 0.1084413704
0.3251 0.1134137846 0.1134137846
0.32735 0.1184683138 0.1184683138
0.32965 0.1237683878 0.1237683878
0.33195 0.129153437 0.129153437
0.33425 0.1346194835 0.1346194835
0.33655 0.1401625248 0.1401625248
0.33885 0.1457785443 0.1457785443
0.3412 0.1515861627 0.1515861627
0.3436 0.1575889361 0.1575889361
0.346 0.1636578543 0.1636578543
